onset	duration	trial	condition
5.6	4.802	1	1
15.669	4.802	2	2
25.491	4.802	3	2
35.794	4.802	4	1
45.568	4.802	5	2
56.331	4.802	6	1
66.606	4.802	7	2
76.741	4.802	8	1
86.917	4.802	9	1
97.901	4.802	10	2
120.143	4.802	11	1
130.132	4.802	12	2
140.404	4.802	13	2
150.501	4.802	14	1
160.168	4.802	15	2
170.899	4.802	16	1
181.29	4.802	17	2
191.613	4.802	18	1
202.028	4.802	19	1
212.583	4.802	20	2
234.575	4.802	21	2
244.554	4.802	22	1
254.701	4.802	23	2
264.41	4.802	24	2
274.743	4.802	25	1
285.684	4.802	26	1
295.871	4.802	27	2
306.013	4.802	28	1
316.123	4.802	29	2
325.839	4.802	30	1
347.8	4.802	31	2
357.928	4.802	32	1
367.785	4.802	33	2
378.089	4.802	34	2
388.395	4.802	35	1
398.515	4.802	36	1
407.842	4.802	37	2
417.969	4.802	38	1
428.519	4.802	39	2
439.1	4.802	40	1
461.401	4.802	41	1
471.37	4.802	42	2
481.511	4.803	43	1
491.806	4.802	44	1
502.207	4.802	45	2
512.312	4.802	46	1
523.105	4.802	47	2
533.665	4.802	48	1
544.213	4.802	49	2
553.502	4.802	50	2
576.041	4.802	51	1
585.68	4.802	52	2
595.676	4.802	53	1
605.637	4.802	54	1
615.568	4.802	55	2
625.695	4.802	56	1
635.434	4.802	57	2
646.088	4.802	58	1
655.593	4.802	59	2
665.284	4.802	60	2
687.572	4.802	61	2
698.092	4.802	62	1
708.832	4.802	63	1
718.605	4.802	64	1
728.489	4.802	65	2
738.237	4.802	66	1
749.017	4.802	67	2
759.243	4.802	68	2
769.179	4.802	69	1
779.695	4.802	70	2
801.145	4.802	71	2
811.328	4.802	72	1
821.886	4.802	73	1
831.434	4.802	74	1
841.195	4.802	75	2
851.032	4.802	76	1
860.587	4.802	77	2
870.962	4.802	78	2
880.664	4.802	79	1
890.963	4.802	80	2
913.174	4.802	81	2
923.823	4.802	82	2
933.59	4.802	83	1
944.422	4.802	84	2
954.883	4.802	85	1
964.522	4.802	86	2
974.665	4.802	87	1
984.86	4.802	88	1
994.432	4.802	89	1
1004.72	4.802	90	2
1026.209	4.802	91	2
1036.483	4.802	92	2
1046.687	4.802	93	1
1057.032	4.802	94	2
1067.667	4.802	95	1
1077.397	4.802	96	2
1087.551	4.802	97	1
1097.818	4.802	98	1
1108.463	4.802	99	1
1118.955	4.802	100	2
