onset	duration	trial	condition
5.66	4.802	1	1
15.151	4.802	2	2
25.256	4.802	3	2
35.374	4.802	4	1
45.375	4.802	5	2
55.806	4.802	6	1
65.765	4.802	7	2
75.737	4.802	8	1
86.497	4.802	9	1
97.022	4.802	10	2
119.314	4.802	11	1
129.831	4.802	12	2
139.995	4.802	13	2
150.396	4.802	14	1
160.515	4.802	15	2
170.995	4.802	16	1
181.435	4.802	17	2
191.186	4.802	18	1
201.199	4.807	19	1
211.693	4.802	20	2
233.849	4.802	21	2
244.198	4.802	22	1
253.938	4.802	23	2
264.049	4.802	24	2
274.176	4.802	25	1
283.946	4.802	26	1
293.919	4.802	27	2
303.642	4.802	28	1
313.784	4.802	29	2
323.949	4.802	30	1
345.703	4.802	31	2
355.784	4.802	32	1
366.06	4.802	33	2
375.825	4.802	34	2
386.16	4.802	35	1
396.605	4.802	36	1
406.881	4.802	37	2
417.108	4.802	38	1
427.115	4.802	39	2
437.119	4.802	40	1
459.08	4.802	41	1
469.808	4.802	42	2
480.336	4.802	43	1
490.997	4.802	44	1
500.964	4.802	45	2
510.636	4.802	46	1
520.608	4.802	47	2
531.344	4.802	48	1
541.542	4.802	49	2
552.424	4.802	50	2
574.623	4.802	51	1
584.816	4.802	52	2
594.15	4.802	53	1
604.31	4.802	54	1
614.236	4.802	55	2
624.596	4.802	56	1
634.381	4.802	57	2
644.905	4.802	58	1
655.534	4.802	59	2
665.905	4.802	60	2
688.019	4.802	61	2
698.191	4.802	62	1
707.564	4.802	63	1
717.197	4.802	64	1
727.126	4.802	65	2
737.109	4.802	66	1
747.769	4.802	67	2
758.346	4.802	68	2
768.662	4.802	69	1
779.106	4.802	70	2
801.765	4.802	71	2
811.531	4.802	72	1
821.098	4.802	73	1
831.002	4.802	74	1
841.35	4.802	75	2
851.638	4.802	76	1
861.564	4.802	77	2
871.165	4.802	78	2
880.594	4.802	79	1
890.424	4.802	80	2
912.928	4.802	81	2
923.027	4.802	82	2
933.308	4.802	83	1
944.092	4.802	84	2
954.076	4.802	85	1
964.297	4.803	86	2
974.2	4.802	87	1
984.881	4.802	88	1
994.641	4.802	89	1
1004.997	4.802	90	2
1027.484	4.802	91	2
1038.232	4.802	92	2
1048.664	4.802	93	1
1059.066	4.802	94	2
1069.277	4.802	95	1
1079.096	4.802	96	2
1089.672	4.802	97	1
1099.869	4.802	98	1
1109.77	4.802	99	1
1120.246	4.802	100	2
