onset	duration	trial	condition
5.358	4.802	1	1
15.458	4.802	2	2
25.483	4.802	3	2
35.217	4.802	4	1
45.106	4.802	5	2
54.728	4.802	6	1
64.492	4.802	7	2
75.116	4.802	8	1
85.412	4.802	9	1
95.639	4.802	10	2
117.118	4.802	11	1
126.847	4.802	12	2
136.885	4.802	13	2
147.425	4.802	14	1
157.496	4.802	15	2
168.326	4.802	16	1
179.013	4.802	17	2
188.93	4.802	18	1
198.269	4.802	19	1
208.141	4.802	20	2
230.775	4.802	21	2
241.445	4.802	22	1
251.643	4.802	23	2
261.302	4.802	24	2
271.458	4.802	25	1
281.817	4.802	26	1
291.183	4.803	27	2
301.586	4.802	28	1
311.404	4.802	29	2
321.447	4.802	30	1
343.599	4.802	31	2
353.074	4.802	32	1
363.47	4.802	33	2
373.994	4.802	34	2
384.065	4.802	35	1
394.378	4.802	36	1
405.181	4.802	37	2
415.334	4.802	38	1
425.471	4.802	39	2
436.135	4.802	40	1
459.001	4.802	41	1
469.496	4.802	42	2
479.987	4.802	43	1
490.576	4.802	44	1
501.128	4.802	45	2
510.672	4.802	46	1
521.124	4.802	47	2
530.91	4.802	48	1
541.084	4.802	49	2
551.131	4.802	50	2
572.951	4.802	51	1
583.059	4.802	52	2
592.697	4.802	53	1
602.799	4.802	54	1
613.767	4.802	55	2
624.139	4.802	56	1
634.01	4.802	57	2
644.01	4.802	58	1
653.534	4.802	59	2
663.582	4.802	60	2
686.163	4.802	61	2
696.728	4.802	62	1
706.73	4.802	63	1
716.469	4.802	64	1
726.989	4.802	65	2
736.783	4.802	66	1
746.119	4.802	67	2
756.166	4.802	68	2
766.218	4.802	69	1
776.705	4.802	70	2
799.532	4.801	71	2
809.746	4.802	72	1
820.365	4.802	73	1
830.766	4.802	74	1
840.539	4.802	75	2
850.42	4.802	76	1
861.185	4.802	77	2
871.029	4.802	78	2
881.227	4.802	79	1
890.808	4.802	80	2
912.735	4.802	81	2
923.22	4.802	82	2
933.764	4.802	83	1
944.137	4.802	84	2
954.947	4.802	85	1
965.179	4.802	86	2
975.43	4.802	87	1
985.336	4.802	88	1
995.452	4.802	89	1
1005.491	4.802	90	2
1028.164	4.802	91	2
1038.247	4.802	92	2
1048.512	4.802	93	1
1058.336	4.802	94	2
1068.129	4.802	95	1
1078.325	4.802	96	2
1088.192	4.802	97	1
1098.96	4.802	98	1
1108.36	4.802	99	1
1118.325	4.802	100	2
