onset	duration	trial	condition
4.926	4.802	1	1
15.356	4.802	2	2
25.343	4.802	3	2
35.302	4.802	4	1
45.9	4.802	5	2
56.028	4.802	6	1
65.42	4.802	7	2
75.891	4.802	8	1
86.534	4.802	9	1
96.339	4.802	10	2
118.603	4.802	11	1
129.238	4.803	12	2
139.182	4.802	13	2
149.294	4.802	14	1
159.752	4.802	15	2
169.709	4.802	16	1
179.691	4.802	17	2
190.106	4.802	18	1
200.178	4.802	19	1
210.297	4.802	20	2
232.169	4.802	21	2
241.915	4.803	22	1
252.789	4.802	23	2
263.0	4.802	24	2
272.822	4.802	25	1
282.537	4.802	26	1
293.143	4.802	27	2
302.894	4.802	28	1
312.61	4.802	29	2
322.798	4.802	30	1
345.039	4.802	31	2
354.935	4.802	32	1
365.18	4.802	33	2
374.68	4.802	34	2
384.824	4.802	35	1
395.011	4.802	36	1
405.736	4.802	37	2
416.1	4.802	38	1
425.925	4.802	39	2
436.246	4.802	40	1
458.665	4.802	41	1
468.642	4.802	42	2
478.279	4.802	43	1
488.034	4.802	44	1
498.309	4.802	45	2
508.404	4.802	46	1
518.895	4.802	47	2
529.222	4.802	48	1
539.05	4.802	49	2
549.366	4.802	50	2
571.564	4.802	51	1
581.882	4.802	52	2
591.219	4.801	53	1
601.771	4.802	54	1
612.096	4.802	55	2
622.284	4.802	56	1
631.845	4.802	57	2
642.02	4.802	58	1
651.77	4.802	59	2
662.354	4.802	60	2
684.816	4.802	61	2
695.179	4.802	62	1
705.429	4.802	63	1
716.143	4.802	64	1
726.396	4.803	65	2
736.208	4.802	66	1
746.604	4.802	67	2
756.188	4.802	68	2
766.236	4.802	69	1
776.346	4.802	70	2
797.778	4.802	71	2
807.766	4.802	72	1
817.783	4.802	73	1
827.989	4.802	74	1
838.258	4.802	75	2
848.369	4.802	76	1
858.103	4.802	77	2
868.715	4.802	78	2
878.976	4.802	79	1
889.378	4.802	80	2
912.174	4.802	81	2
922.493	4.802	82	2
932.743	4.802	83	1
943.315	4.803	84	2
954.112	4.802	85	1
964.117	4.802	86	2
973.988	4.802	87	1
984.553	4.802	88	1
994.714	4.802	89	1
1004.532	4.802	90	2
1026.936	4.802	91	2
1037.051	4.802	92	2
1047.727	4.802	93	1
1058.211	4.802	94	2
1068.188	4.802	95	1
1078.294	4.802	96	2
1088.386	4.802	97	1
1098.057	4.802	98	1
1108.383	4.802	99	1
1119.327	4.802	100	2
