onset	duration	trial	condition
5.24	4.802	1	1
15.308	4.802	2	2
25.769	4.803	3	2
36.206	4.802	4	1
46.96	4.802	5	2
57.624	4.802	6	1
67.301	4.802	7	2
77.57	4.802	8	1
87.075	4.802	9	1
97.163	4.802	10	2
120.031	4.802	11	1
130.041	4.802	12	2
140.357	4.802	13	2
150.611	4.802	14	1
160.662	4.802	15	2
170.238	4.802	16	1
180.322	4.802	17	2
190.314	4.802	18	1
200.22	4.802	19	1
209.982	4.802	20	2
232.165	4.802	21	2
242.128	4.802	22	1
251.667	4.802	23	2
262.474	4.802	24	2
272.969	4.802	25	1
282.948	4.802	26	1
293.196	4.802	27	2
303.253	4.802	28	1
312.882	4.802	29	2
323.338	4.802	30	1
345.36	4.802	31	2
355.864	4.802	32	1
365.46	4.802	33	2
375.597	4.802	34	2
385.474	4.803	35	1
396.289	4.801	36	1
406.13	4.802	37	2
416.417	4.802	38	1
426.806	4.802	39	2
437.512	4.802	40	1
460.278	4.802	41	1
470.417	4.802	42	2
480.358	4.802	43	1
490.473	4.802	44	1
501.274	4.802	45	2
511.486	4.802	46	1
521.658	4.802	47	2
531.447	4.802	48	1
541.884	4.802	49	2
552.564	4.802	50	2
574.647	4.802	51	1
584.87	4.802	52	2
594.557	4.802	53	1
604.211	4.802	54	1
614.068	4.802	55	2
624.761	4.802	56	1
634.517	4.802	57	2
644.113	4.802	58	1
654.498	4.802	59	2
664.951	4.802	60	2
687.722	4.802	61	2
697.637	4.802	62	1
707.808	4.802	63	1
717.923	4.802	64	1
727.885	4.802	65	2
738.169	4.802	66	1
748.171	4.802	67	2
758.298	4.802	68	2
768.882	4.802	69	1
779.035	4.802	70	2
801.35	4.802	71	2
812.082	4.802	72	1
822.751	4.802	73	1
832.761	4.802	74	1
842.796	4.802	75	2
852.832	4.802	76	1
862.981	4.802	77	2
873.248	4.802	78	2
883.844	4.802	79	1
893.679	4.802	80	2
916.143	4.802	81	2
926.745	4.802	82	2
937.145	4.802	83	1
947.629	4.802	84	2
957.948	4.802	85	1
968.039	4.802	86	2
978.321	4.802	87	1
988.856	4.802	88	1
999.154	4.802	89	1
1009.14	4.802	90	2
1030.898	4.803	91	2
1041.123	4.802	92	2
1051.584	4.802	93	1
1061.32	4.802	94	2
1071.556	4.802	95	1
1082.022	4.802	96	2
1092.508	4.802	97	1
1102.408	4.802	98	1
1112.965	4.802	99	1
1123.224	4.802	100	2
