onset	duration	trial	condition
5.597	4.802	1	1
16.574	4.802	2	2
26.698	4.802	3	2
37.261	4.802	4	1
47.398	4.802	5	2
57.051	4.802	6	1
66.742	4.802	7	2
77.304	4.802	8	1
87.279	4.802	9	1
97.054	4.802	10	2
118.777	4.802	11	1
128.83	4.802	12	2
138.435	4.802	13	2
149.165	4.802	14	1
159.106	4.802	15	2
169.227	4.802	16	1
178.817	4.802	17	2
188.448	4.802	18	1
199.168	4.802	19	1
209.88	4.802	20	2
232.236	4.802	21	2
242.059	4.802	22	1
252.166	4.802	23	2
262.216	4.802	24	2
272.363	4.802	25	1
281.936	4.802	26	1
291.286	4.802	27	2
301.299	4.802	28	1
311.421	4.802	29	2
322.047	4.802	30	1
344.082	4.802	31	2
353.787	4.802	32	1
363.266	4.802	33	2
373.291	4.802	34	2
383.221	4.802	35	1
393.107	4.802	36	1
403.493	4.802	37	2
413.434	4.802	38	1
423.056	4.802	39	2
432.544	4.802	40	1
455.291	4.802	41	1
465.11	4.802	42	2
474.526	4.802	43	1
484.022	4.802	44	1
493.555	4.802	45	2
503.001	4.802	46	1
513.072	4.802	47	2
522.913	4.802	48	1
533.809	4.802	49	2
543.361	4.802	50	2
565.925	4.802	51	1
576.234	4.802	52	2
585.886	4.802	53	1
595.864	4.802	54	1
605.446	4.802	55	2
615.294	4.802	56	1
624.991	4.802	57	2
635.648	4.802	58	1
645.549	4.802	59	2
655.348	4.802	60	2
677.788	4.802	61	2
688.213	4.802	62	1
698.033	4.802	63	1
707.592	4.802	64	1
717.05	4.802	65	2
726.786	4.802	66	1
736.611	4.802	67	2
746.28	4.802	68	2
756.068	4.802	69	1
766.116	4.802	70	2
788.416	4.802	71	2
798.478	4.802	72	1
808.865	4.802	73	1
818.957	4.802	74	1
829.344	4.802	75	2
839.726	4.802	76	1
849.352	4.802	77	2
859.429	4.802	78	2
869.429	4.802	79	1
880.144	4.802	80	2
902.106	4.802	81	2
912.753	4.802	82	2
923.137	4.802	83	1
933.589	4.802	84	2
943.488	4.802	85	1
953.397	4.802	86	2
963.738	4.802	87	1
973.761	4.802	88	1
983.493	4.802	89	1
993.697	4.802	90	2
1016.329	4.802	91	2
1026.263	4.802	92	2
1035.947	4.802	93	1
1046.1	4.802	94	2
1056.23	4.802	95	1
1066.539	4.802	96	2
1076.893	4.802	97	1
1087.097	4.802	98	1
1097.183	4.802	99	1
1107.833	4.802	100	2
