onset	duration	trial	condition
5.39	4.802	1	1
15.523	4.802	2	2
25.926	4.802	3	2
35.853	4.802	4	1
46.491	4.804	5	2
56.284	4.802	6	1
66.709	4.802	7	2
76.885	4.802	8	1
87.363	4.802	9	1
97.847	4.802	10	2
119.916	4.802	11	1
130.004	4.802	12	2
140.355	4.802	13	2
150.853	4.802	14	1
161.333	4.802	15	2
171.618	4.802	16	1
181.861	4.802	17	2
191.685	4.802	18	1
202.319	4.802	19	1
212.682	4.802	20	2
234.963	4.802	21	2
244.611	4.802	22	1
254.624	4.802	23	2
264.687	4.802	24	2
274.786	4.802	25	1
285.03	4.802	26	1
294.458	4.802	27	2
305.367	4.802	28	1
315.761	4.802	29	2
325.741	4.802	30	1
348.456	4.802	31	2
358.002	4.802	32	1
367.731	4.802	33	2
377.921	4.802	34	2
388.274	4.802	35	1
398.73	4.802	36	1
408.758	4.802	37	2
418.779	4.802	38	1
429.626	4.802	39	2
439.471	4.802	40	1
461.526	4.802	41	1
471.965	4.802	42	2
481.594	4.802	43	1
491.512	4.802	44	1
502.244	4.802	45	2
512.553	4.802	46	1
523.244	4.802	47	2
533.271	4.802	48	1
543.241	4.802	49	2
553.285	4.802	50	2
575.327	4.802	51	1
585.649	4.802	52	2
596.364	4.802	53	1
606.508	4.802	54	1
616.733	4.802	55	2
627.143	4.802	56	1
637.232	4.802	57	2
646.898	4.802	58	1
657.344	4.802	59	2
668.059	4.802	60	2
690.081	4.802	61	2
699.747	4.802	62	1
709.874	4.802	63	1
719.525	4.803	64	1
729.504	4.802	65	2
739.8	4.802	66	1
749.512	4.802	67	2
759.838	4.802	68	2
770.181	4.802	69	1
780.366	4.802	70	2
802.405	4.802	71	2
812.009	4.802	72	1
821.604	4.802	73	1
831.538	4.802	74	1
842.381	4.802	75	2
853.085	4.802	76	1
863.896	4.802	77	2
873.661	4.802	78	2
883.927	4.803	79	1
893.942	4.802	80	2
915.357	4.802	81	2
925.428	4.802	82	2
935.095	4.802	83	1
945.222	4.802	84	2
955.419	4.802	85	1
966.016	4.802	86	2
976.543	4.802	87	1
987.011	4.802	88	1
997.372	4.802	89	1
1007.894	4.802	90	2
1029.794	4.802	91	2
1039.497	4.802	92	2
1049.722	4.802	93	1
1060.191	4.802	94	2
1070.373	4.802	95	1
1080.812	4.802	96	2
1090.424	4.802	97	1
1100.073	4.802	98	1
1110.478	4.802	99	1
1120.477	4.802	100	2
