onset	duration	trial	condition
5.491	4.802	1	1
15.048	4.803	2	2
25.205	4.802	3	2
35.119	4.802	4	1
45.129	4.802	5	2
55.296	4.802	6	1
65.47	4.802	7	2
75.765	4.802	8	1
85.484	4.802	9	1
95.905	4.802	10	2
117.89	4.802	11	1
128.383	4.802	12	2
138.257	4.802	13	2
148.812	4.802	14	1
158.941	4.802	15	2
169.292	4.802	16	1
179.241	4.802	17	2
189.916	4.802	18	1
200.721	4.802	19	1
210.971	4.802	20	2
233.189	4.802	21	2
243.368	4.802	22	1
254.112	4.802	23	2
264.349	4.802	24	2
274.562	4.802	25	1
285.076	4.802	26	1
295.932	4.802	27	2
305.638	4.802	28	1
316.12	4.802	29	2
326.101	4.802	30	1
347.973	4.802	31	2
358.73	4.802	32	1
368.481	4.802	33	2
378.916	4.802	34	2
389.426	4.802	35	1
399.979	4.802	36	1
410.615	4.802	37	2
420.255	4.801	38	1
430.706	4.802	39	2
440.073	4.802	40	1
461.936	4.802	41	1
472.527	4.802	42	2
482.314	4.802	43	1
492.51	4.802	44	1
502.527	4.802	45	2
512.679	4.802	46	1
523.117	4.802	47	2
533.282	4.802	48	1
543.862	4.802	49	2
553.993	4.802	50	2
575.837	4.802	51	1
586.144	4.802	52	2
596.341	4.802	53	1
606.401	4.802	54	1
616.438	4.802	55	2
626.09	4.802	56	1
636.704	4.802	57	2
646.577	4.802	58	1
656.649	4.802	59	2
667.114	4.802	60	2
689.666	4.802	61	2
699.488	4.802	62	1
709.601	4.802	63	1
719.6	4.802	64	1
729.742	4.802	65	2
739.73	4.802	66	1
749.861	4.802	67	2
760.169	4.802	68	2
769.947	4.802	69	1
780.001	4.802	70	2
802.761	4.802	71	2
812.386	4.802	72	1
821.906	4.802	73	1
832.186	4.802	74	1
842.94	4.802	75	2
853.92	4.802	76	1
864.606	4.802	77	2
874.261	4.802	78	2
884.431	4.802	79	1
894.326	4.802	80	2
915.901	4.803	81	2
925.704	4.802	82	2
936.437	4.802	83	1
946.302	4.802	84	2
956.599	4.802	85	1
966.861	4.802	86	2
976.909	4.802	87	1
987.284	4.802	88	1
997.473	4.802	89	1
1007.378	4.802	90	2
1029.55	4.802	91	2
1039.539	4.802	92	2
1049.582	4.802	93	1
1059.901	4.802	94	2
1070.365	4.802	95	1
1080.332	4.802	96	2
1090.819	4.802	97	1
1100.92	4.802	98	1
1110.555	4.802	99	1
1120.825	4.802	100	2
